der Schädling            pest                        вредитель
die Fortsetzung          sequel                      продолжение
der Weltraum             space                       космос
die Vorherrschaft        supremacy                   превосходство
nazad delat machen       undo                        возвращять как было
der Brunnen              well                        колодец
Die List                 the cunning                 хитрость
anlegen                  mess with                   спорить с кем-то
sich gesellen            join                        присоиденится к компании
der Klatsch              gossip                      слух
dämlich                  stupid                      глупо
platt                    flat                        сдутый
das Moos                 moss                        мох
der Oberschenkel         thigh                       ляшка
der Schluck              gulp                        глоток
Prellung                 bruise                      синяк
der Flicken              patch                       заплатка
öde                      desolate                    неинтерeсный/безрадосный
das Kennzeichen          registration plate          автомобильный номер/знак
2620.wischen             wipe                        вытирать
streicheln               pet                         гладить
tauglich                 suitable                    подходящий
aufnehmen                record                      снимать
zähmen                   tame                        приручать
aussichtslos             hopeless                    безнадежный
Im Querschnitt           in cross section            в разрезе
abschweifen              digress                     отходить от темы/сходить с пути
der Wutanfall            tantrum                     истерика
der Stoppel              stubble                     щетина
das Geländer             handrail                    перила
mild                     mild                        нежный/не интенсивный
verhängen                impose                      издавать какой-то запрет/выговор
fällen                   cut down/decide             рубить деревья/делать решение
die Eichel               acorn                       желудь/и что-то не хорошее
der Leuchtstab           glowstick                   светящяяся палочка
der Blei                 lead                        свинец
die Redewendung          phrase                      фраза/выражение
durch die Decke                                      --------------------------
gehen                    go through a roof           подниматся в цене/беситься
zugeschickt              send                        что-то получить посылкой
2640.überflügeln         outstrip                    превосходить
Hinsicht                 way                         отношение(он превосходит его во всех отношениях)
fortlaufend              ongoing                     непрерывный
der Tautropfen           dewdrops                    капли росы
die Kamille              chamomile                   ромашка
verzweigt                branched                    разделенный на ветвти
die Fee                  fairy                       фея
das Tal                  valley                      углубления которые оставляют после себя реки
flink                    nimble                      быстрый
abweichen                deviate                     отклонятся
fortwährend              ongoing                     непрерывный
Entschädigung            compensation                компенсация
hervorgerufene           caused                      вызванные(крики боли вызванные ранением)
schillernd               iridescent                  переливающиеся/радужные
gehärtet                 hardened                    закаленный
entfesseln               unleash                     высвобождать(себя или потенциал)
der Ärmel                sleeve                      рукав
der Pfifferling          chanterelle                 лисичка(гриб)
kein Pfifferling         -----------------           -------------------------
wert                     not worth a penny           не стоит и виеденого яйца
der Aufschwung           upswing                     подъем/рост(в основном в економическом контексте)
2660.versetzen           move                        передвигать/ставить в другое состояние
in der Klemme            -----------------           --------------------------------
stecken                  in the tough spot           быть в затруднительном положении
der Autodidakt           autodidact                  самоучка
Beharrlichkeit           tenacity                    настойчивость/упорство(в долгосрочной перспективе)
Zähigkeit                toughness                   прочность/выдержка(не в долгосрочной перспективе)
das Grauen               horror                      ужас
der Schleier             veil                        вуаль(прозрачная ткань)
das Gefecht              battle                      сражение(военное)
lindern                  alleviate                   облегчить
vollbringen              accomplish                  совершать(какие-то великие дела)
der Mönch                monk                        монах
die Tinktur              tincture                    настойка
das Fitzelchen           bit                         чуть-чуть чего-то
umstritten               controversial               спорно
das Zischen              hissing                     шипение
gnadenlos                merciless                   безпощадный(неприклонный)
erbarmungslos            merciless                   безпощадный(жестокий)
sämtliche                all                         все(очень странное слово)
die Naht                 seam                        шов
